ID Ensayo,Modalidad,Tiempo (s),Distancia (cm)
sim_presential_41_1769461081030,presential,2.5007,150.0
sim_presential_42_1769464103096,presential,1.851,150.0
sim_presential_43_1769461081030,presential,1.8235,150.0
sim_presential_44_1769461081030,presential,1.7544,150.0
sim_presential_44_1769464103096,presential,1.6012,150.0
sim_presential_45_1769464103096,presential,2.5994,150.0
sim_presential_47_1769461081030,presential,1.6453,150.0
sim_presential_49_1769464103096,presential,1.7435,150.0
sim_presential_4_1769461081030,presential,2.5279,150.0
sim_presential_4_1769464103095,presential,2.0617,150.0
sim_presential_5_1769461081030,presential,1.6362,150.0
sim_presential_5_1769464103095,presential,1.6898,150.0
sim_presential_7_1769461081030,presential,1.9309,150.0
1769203121962.0,remote,1.969,150.0
1769203890691.0,remote,2.061,150.0
1769203926021.0,remote,2.284,150.0
1769203946802.0,remote,2.383,150.0
1769203963698.0,remote,2.383,150.0
1769203972502.0,remote,2.153,150.0
1769204008354.0,remote,2.336,150.0
1769204028454.0,remote,2.336,150.0
1769204039781.0,remote,2.336,150.0
1769204046540.0,remote,2.336,150.0
1769204055660.0,remote,2.336,150.0
1769204072019.0,remote,2.336,150.0
1769204465060.0,remote,2.037,150.0
1769204482362.0,remote,2.337,150.0
1769204498850.0,remote,2.337,150.0
1769204514298.0,remote,2.337,150.0
1769204523015.0,remote,2.337,150.0
1769204689566.0,remote,1.869,150.0
1769204702934.0,remote,1.869,150.0
1769204746558.0,remote,1.982,150.0
1769204759908.0,remote,2.163,150.0
sim_remote_0_1769461081030,remote,2.0427,150.0
sim_remote_11_1769464103096,remote,1.6449,150.0
sim_remote_12_1769461081030,remote,2.4891,150.0
sim_remote_12_1769464103096,remote,1.5949,150.0
sim_remote_14_1769461081030,remote,1.719,150.0
sim_remote_14_1769464103096,remote,1.8022,150.0
sim_remote_15_1769461081030,remote,1.9387,150.0
sim_remote_17_1769461081030,remote,2.3077,150.0
sim_remote_17_1769464103096,remote,1.8795,150.0
sim_remote_18_1769461081030,remote,2.569,150.0
sim_remote_19_1769464103096,remote,1.6239,150.0
sim_remote_1_1769461081030,remote,1.8104,150.0
sim_remote_1_1769464103096,remote,1.646,150.0
sim_remote_20_1769461081030,remote,1.8841,150.0
sim_remote_21_1769461081030,remote,1.8492,150.0
sim_remote_21_1769464103096,remote,2.5406,150.0
sim_remote_22_1769461081030,remote,2.6208,150.0
sim_remote_23_1769464103096,remote,1.8915,150.0
sim_remote_25_1769461081030,remote,2.0504,150.0
sim_remote_26_1769464103096,remote,1.6174,150.0
sim_remote_27_1769461081030,remote,1.7999,150.0
sim_remote_27_1769464103096,remote,2.1601,150.0
sim_remote_28_1769461081030,remote,2.0731,150.0
sim_remote_28_1769464103096,remote,2.3106,150.0
sim_remote_2_1769464103096,remote,2.1754,150.0
sim_remote_30_1769461081030,remote,1.6176,150.0
sim_remote_31_1769464103096,remote,1.5848,150.0
sim_remote_32_1769461081030,remote,1.7869,150.0
sim_remote_33_1769461081030,remote,2.0188,150.0
sim_remote_34_1769461081030,remote,2.1129,150.0
sim_remote_35_1769464103096,remote,2.3721,150.0
sim_remote_37_1769461081030,remote,2.3767,150.0
sim_remote_39_1769464103096,remote,1.8124,150.0
sim_remote_40_1769461081030,remote,2.4156,150.0
sim_remote_40_1769464103096,remote,2.4888,150.0
sim_remote_41_1769461081030,remote,2.1584,150.0
sim_remote_41_1769464103096,remote,2.0355,150.0
sim_remote_43_1769461081030,remote,2.2227,150.0
sim_remote_44_1769461081030,remote,1.8448,150.0
sim_remote_44_1769464103096,remote,2.6201,150.0
sim_remote_48_1769461081031,remote,1.6148,150.0
sim_remote_48_1769464103096,remote,1.9032,150.0
sim_remote_49_1769461081031,remote,2.1182,150.0
sim_remote_49_1769464103096,remote,2.0539,150.0
sim_remote_5_1769461081030,remote,2.1263,150.0
sim_remote_5_1769464103096,remote,2.0267,150.0
sim_remote_6_1769464103096,remote,2.2719,150.0
sim_remote_7_1769464103096,remote,1.8789,150.0
sim_remote_9_1769464103096,remote,2.0297,150.0
