ID Ensayo,Modalidad,Tiempo (s),Distancia (cm)
sim_remote_44_1769461081030,remote,0.0,0.0
sim_remote_44_1769464103096,remote,0.0,0.0
sim_remote_48_1769461081031,remote,0.0,0.0
sim_remote_48_1769464103096,remote,0.0,0.0
sim_remote_49_1769461081031,remote,0.0,0.0
sim_remote_49_1769464103096,remote,0.0,0.0
sim_remote_5_1769461081030,remote,0.0,0.0
sim_remote_5_1769464103096,remote,0.0,0.0
sim_remote_6_1769464103096,remote,0.0,0.0
sim_remote_7_1769464103096,remote,0.0,0.0
sim_remote_9_1769464103096,remote,0.0,0.0
