ID Ensayo,Modalidad,Tiempo (s),Distancia (cm)
sim_remote_23_1769464103096,remote,1.5822,100.0
sim_remote_25_1769461081030,remote,1.6816,100.0
sim_remote_26_1769464103096,remote,1.2685,100.0
sim_remote_27_1769461081030,remote,1.4575,100.0
sim_remote_27_1769464103096,remote,1.7805,100.0
sim_remote_28_1769461081030,remote,1.7,100.0
sim_remote_28_1769464103096,remote,1.902,100.0
sim_remote_2_1769464103096,remote,1.793,100.0
sim_remote_30_1769461081030,remote,1.3342,100.0
sim_remote_31_1769464103096,remote,1.2941,100.0
sim_remote_32_1769461081030,remote,1.4538,100.0
sim_remote_33_1769461081030,remote,1.6402,100.0
sim_remote_34_1769461081030,remote,1.7596,100.0
sim_remote_35_1769464103096,remote,1.957,100.0
sim_remote_37_1769461081030,remote,1.9555,100.0
sim_remote_39_1769464103096,remote,1.5195,100.0
sim_remote_40_1769461081030,remote,1.9787,100.0
sim_remote_40_1769464103096,remote,2.0303,100.0
sim_remote_41_1769461081030,remote,1.7311,100.0
sim_remote_41_1769464103096,remote,1.6749,100.0
sim_remote_43_1769461081030,remote,1.8202,100.0
sim_remote_44_1769461081030,remote,1.5338,100.0
sim_remote_44_1769464103096,remote,2.1727,100.0
sim_remote_48_1769461081031,remote,1.3562,100.0
sim_remote_48_1769464103096,remote,1.561,100.0
sim_remote_49_1769461081031,remote,1.6911,100.0
sim_remote_49_1769464103096,remote,1.6638,100.0
sim_remote_5_1769461081030,remote,1.7553,100.0
sim_remote_5_1769464103096,remote,1.6343,100.0
sim_remote_6_1769464103096,remote,1.8946,100.0
sim_remote_7_1769464103096,remote,1.4923,100.0
sim_remote_9_1769464103096,remote,1.6996,100.0
